# dictionary<TAB>text<TAB>code<TAB>readings (initial:final, COPY, or CODE:new-code)
xkjd6.jisuanji.dict.yaml	终端作业标识	fdzfao	zh:ong,d:uan,z:uo,y:e,b:iao,zh:i
xkjd6.lanlao2.dict.yaml	免服兵役	wfbyu	COPY
xkjd6.lanlao2.dict.yaml	两委干部	lxgbvu	COPY
xkjd6.lanlao2.dict.yaml	免服务费	wfwfuu	COPY
xmjd6.same_code_short_first.dict.yaml	B超	bjz	CODE:bwz
xmjd6.same_code_short_first.dict.yaml	B超	bwz	CODE:bwz
xmjd6.same_code_short_first.dict.yaml	B站	bqf	COPY
xmjd6.same_code_short_first.dict.yaml	保持清醒型	hbdsav	COPY
xmjd6.same_code_short_first.dict.yaml	自嘲摆烂型	hbdsio	COPY
xmjd6.same_code_short_first.dict.yaml	X光	xgx	COPY
xmjd6.cx.dict.yaml	掺	xmiua	COPY
xmjd6.cx.dict.yaml	掺	xmiuao	COPY
xmjd6.danzi.dict.yaml	漴	emai	CODE:exai
xmjd6.danzi.dict.yaml	漴	emaia	CODE:exaia
xmjd6.danzi.dict.yaml	漴	exai	CODE:exai
xmjd6.danzi.dict.yaml	漴	exaia	CODE:exaia
xmjd6.danzi.dict.yaml	儃	qfio	COPY
xmjd6.danzi.dict.yaml	儃	qfiov	COPY
xmjd6.danzi.dict.yaml	扱	qkiuu	COPY
xmjd6.danzi.dict.yaml	扱	qkiuua	COPY
xmjd6.danzi.dict.yaml	欪	qlaiu	COPY
xmjd6.danzi.dict.yaml	欪	qlaiua	COPY
xmjd6.danzi.dict.yaml	朚	wpovo	COPY
xmjd6.danzi.dict.yaml	朚	wpovoi	COPY
xmjd6.danzi.dict.yaml	偅	wyiuv	COPY
xmjd6.danzi.dict.yaml	偅	wyiuvi	COPY
xmjd6.danzi.dict.yaml	掺	xmiua	COPY
xmjd6.danzi.dict.yaml	掺	xmiuao	COPY
xmjd6.danzi.dict.yaml	啍	xxoov	COPY
xmjd6.danzi.dict.yaml	啍	xxoovo	COPY
